SARS004_mock_3	SARS004_mock_2	SARS004_mock_1	SARS004_CoV2_3	SARS004_CoV2_2	SARS004_CoV2_1	CoV002_mock3_indexG3	CoV002_mock2_indexG2	CoV002_mock1_indexG1	CoV002_CoV2_3_indexG6	CoV002_CoV2_2_indexG5	CoV002_CoV2_1_indexG4	svRNA184_mock_3_indexF3	svRNA184_mock_1_indexF1	svRNA184_RSV_3_indexH9	svRNA184_RSV_1_indexF4	X3_9_mock1_13	X3_9_mock2_14	X3_9_wt1_15	X3_9_wt2_16
ENSG00000006118	1004	1207	1522	1766	1086	3207	3516	1885	1509	3674	3594	2677	4237	3351	3781	2782	338	531	173	137
ENSG00000006125	5096	4255	7071	3968	4476	13089	10534	5283	4534	13136	10493	8138	4146	3567	1807	1147	2504	4712	5512	1326
ENSG00000006128	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006194	458	430	652	397	368	1102	856	501	424	1087	943	710	916	645	191	149	160	298	189	56
ENSG00000006210	23	18	36	15	10	54	38	19	14	46	59	40	49	37	14	10	0	2	1	0
ENSG00000006282	458	436	570	463	353	1009	4110	2477	1777	4590	4361	3282	4941	3808	1338	937	603	1159	728	296
ENSG00000006283	2	1	2	0	0	0	607	337	273	898	853	651	154	145	127	69	100	166	106	45
ENSG00000006327	2586	2604	3305	2518	2492	7148	4692	2893	2138	4905	4976	3819	3207	2147	1820	1256	539	1108	77	147
ENSG00000006377	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0
ENSG00000006432	513	379	773	463	483	1473	410	199	175	463	421	336	125	84	29	27	74	108	73	15
ENSG00000006451	1254	1183	2420	1150	1260	3469	827	447	328	1301	908	693	703	702	334	166	169	354	457	64
ENSG00000006453	1664	1393	2297	1330	1386	4235	2337	1302	1080	2868	2535	1958	2290	1853	744	528	403	812	897	255
ENSG00000006468	19	11	20	9	11	18	182	95	47	255	163	101	62	100	25	14	49	110	160	36
ENSG00000006530	431	359	593	310	362	1016	863	510	405	1124	823	651	931	822	301	127	176	328	349	83
ENSG00000006534	97	82	109	89	68	175	7362	4332	3389	7114	6667	5049	8230	6027	1946	1254	1317	2241	902	421
ENSG00000006555	73	47	77	80	64	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006576	154	139	306	91	91	318	484	267	185	845	486	385	198	179	51	13	104	235	382	51
ENSG00000006606	17	19	35	9	17	59	5	5	3	14	14	7	40	35	19	12	1	11	7	0
ENSG00000006607	219	198	299	237	223	576	383	218	198	462	375	325	296	267	68	62	75	142	135	23
ENSG00000006611	0	0	0	0	0	0	110	80	58	147	114	89	1093	797	188	106	5	10	5	2
ENSG00000006625	722	806	1380	633	615	1609	1177	656	448	1693	1180	905	713	738	266	139	179	472	515	88
ENSG00000006634	126	127	262	129	131	359	663	376	181	1151	672	514	197	265	54	16	159	397	732	96
ENSG00000006638	0	3	2	3	0	6	11	5	4	14	10	4	0	1	3	2	1	3	0	0
ENSG00000006652	307	310	580	275	288	778	810	501	339	1184	878	696	487	513	179	88	156	426	495	118
ENSG00000006659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006695	165	142	238	125	151	309	388	238	207	550	422	309	323	284	79	75	111	217	186	62
ENSG00000006704	396	321	508	361	317	867	542	284	236	608	627	500	746	518	168	101	79	195	165	50
ENSG00000006712	1490	1337	1933	1487	1442	4220	2209	1221	995	2555	2527	1816	2909	1909	808	626	504	1037	1230	168
ENSG00000006715	1021	907	1560	696	873	2341	1068	578	404	1546	1042	821	498	479	128	63	223	477	563	134
ENSG00000006740	22	20	31	16	13	72	226	118	109	231	230	211	120	97	45	33	47	66	77	15
ENSG00000006744	1228	940	1696	1047	1057	3402	3380	2044	1568	3747	3562	2744	1877	1515	560	464	615	1233	1252	365
ENSG00000006747	9	5	16	3	3	21	8	3	4	10	10	5	12	17	3	4	0	4	8	0
ENSG00000006756	531	456	660	426	414	1302	669	352	293	751	619	466	970	827	270	201	191	305	152	48
ENSG00000006757	722	596	986	505	522	1644	185	96	87	259	202	148	163	132	58	37	9	26	14	7
ENSG00000006788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000006831	982	882	1447	888	902	2664	2560	1405	1087	3224	2676	2110	1492	1286	448	328	484	989	957	231
ENSG00000006837	37	24	67	26	29	77	27	20	4	48	41	14	43	63	24	12	11	31	47	3
ENSG00000007001	3	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0
ENSG00000007038	25	17	26	21	16	73	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007047	831	750	1225	803	730	2233	256	118	107	287	305	190	461	348	150	56	59	91	61	26
ENSG00000007062	0	4	4	0	3	1	1	0	0	3	0	0	0	2	0	1	2	2	0	0
ENSG00000007080	431	544	637	772	291	1258	1234	681	555	1320	1327	1017	1823	1032	565	358	184	420	348	75
ENSG00000007129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000007168	2733	2096	3753	1757	2063	6189	3685	1902	1292	4914	3342	2579	1306	1328	474	345	692	1452	1769	377
ENSG00000007171	0	0	0	2	0	0	2	3	2	9	18	12	23	19	4	1	0	2	9	1
ENSG00000007174	12	6	15	2	4	7	0	0	0	0	0	0	2	4	1	0	0	0	0	0
ENSG00000007202	3392	2679	4328	3357	3225	9369	7119	4002	3225	7940	7487	5735	3019	2343	741	594	1158	2214	2211	573
ENSG00000007216	0	0	0	0	1	0	0	0	0	1	0	1	25	17	0	0	0	0	0	0
ENSG00000007237	6	0	1	1	1	11	35	14	23	35	31	27	3	9	5	1	7	11	8	3
ENSG00000007255	36	36	52	39	31	78	545	359	234	546	528	369	1793	1256	406	367	69	135	56	30
ENSG00000007264	0	0	0	0	0	0	2	4	3	6	5	2	4	0	2	1	0	1	1	0
ENSG00000007306	7	1	1	13	10	13	6	5	3	10	2	5	95	109	9	4	1	0	0	0
ENSG00000007312	0	0	0	0	0	0	0	1	0	0	0	0	8	1	1	1	0	0	0	0
ENSG00000007314	0	0	0	0	0	0	5	1	1	4	5	4	7	3	0	2	3	3	1	0
ENSG00000007341	120	97	178	67	99	234	152	91	66	221	154	113	163	172	74	37	33	82	58	8
ENSG00000007350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007372	0	0	0	0	1	0	31	22	11	60	46	35	39	17	14	9	7	12	17	2
ENSG00000007376	106	136	204	206	94	334	827	418	328	766	754	641	590	380	166	110	134	269	72	54
ENSG00000007384	373	348	557	451	290	1045	778	425	335	775	756	584	1243	893	431	293	123	219	109	65
ENSG00000007392	323	255	471	282	366	851	1024	571	491	1352	1115	878	2331	1372	725	372	178	372	374	91
ENSG00000007402	1	3	0	0	1	5	62	35	21	57	55	46	72	44	29	24	5	16	3	3
ENSG00000007516	26	22	7	12	19	54	22	18	12	30	36	25	113	121	54	29	7	23	15	5
ENSG00000007520	551	564	848	492	426	1397	1290	643	503	1235	1182	907	997	759	307	256	176	339	129	69
ENSG00000007541	123	168	154	145	91	302	1123	606	448	995	1000	794	1178	926	377	277	140	278	62	32
ENSG00000007866	719	647	1069	796	604	1880	168	127	70	221	174	158	380	264	111	73	21	59	23	18
ENSG00000007908	0	0	0	0	0	0	2	1	1	2	4	5	9	11	1	1	0	0	0	0
ENSG00000007923	942	760	1497	979	882	2847	826	477	440	978	965	743	408	382	127	102	177	336	340	73
ENSG00000007933	7	5	6	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007944	43	53	100	30	34	95	146	84	54	181	132	99	253	181	83	38	34	69	81	13
ENSG00000007952	0	0	0	1	0	0	21	7	5	12	7	5	80	80	18	16	2	3	15	1
ENSG00000007968	7	4	9	2	6	13	383	207	156	381	366	341	125	128	22	22	43	94	55	20
ENSG00000008018	1890	1618	3053	1684	1741	4676	3217	1823	1317	4446	3390	2593	4243	2873	1255	901	618	1420	1233	311
ENSG00000008056	13	6	14	10	9	16	3	0	1	1	2	2	4	8	0	3	0	2	1	1
ENSG00000008083	1039	1033	1698	1083	995	2757	529	301	244	626	565	443	302	333	121	68	117	225	206	55
ENSG00000008086	122	114	153	89	78	278	200	109	111	254	174	155	9	10	7	1	46	82	119	25
ENSG00000008118	0	0	0	0	1	0	6	3	1	4	2	2	2	1	0	1	0	2	0	0
ENSG00000008128	97	82	125	113	98	295	245	155	127	253	280	219	475	307	141	89	26	87	54	12
ENSG00000008130	388	334	555	396	319	976	1055	678	462	1110	1041	832	993	843	342	235	177	336	277	98
ENSG00000008196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000008197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
